"","emotion","value","date","protests"
"1","anger",NA,1960-01-01,2.70805020110221
"2","anger",0.605867029822166,1960-01-16,2.70805020110221
"3","anger",0.730288881460974,1960-02-01,2.94443897916644
"4","anger",0.578375208713527,1960-03-01,3.61091791264422
"5","anger",0.472713430373278,1960-04-01,2.99573227355399
"6","anger",0.659259513976244,1960-05-01,2.19722457733622
"7","anger",0.783931309647862,1960-06-01,1.94591014905531
"8","anger",0.777608968053835,1960-07-01,1.09861228866811
"9","anger",0.465089278644534,1960-08-01,2.70805020110221
"10","anger",0.735257827137388,1960-09-01,2.30258509299405
"11","anger",0.429586900930289,1960-10-01,2.19722457733622
"12","anger",0.413879592859474,1960-11-01,2.19722457733622
"13","anger",0.510005263157648,1960-12-01,1.6094379124341
"14","anger",0.230669706340462,1960-12-16,1.6094379124341
"15","anger",0.49480336274512,1961-01-01,2.30258509299405
"16","anger",0.489608202777342,1961-02-01,2.484906649788
"17","anger",0.479057872217893,1961-03-01,2.56494935746154
"18","anger",0.210316940134933,1961-04-01,1.38629436111989
"19","anger",0.486051284719429,1961-05-01,2.94443897916644
"20","anger",0.595769336996817,1961-06-01,2.56494935746154
"21","anger",0.515652462317246,1961-07-01,2.77258872223978
"22","anger",0.635089308544687,1961-08-01,2.19722457733622
"23","anger",0.548725015527981,1961-09-01,2.07944154167984
"24","anger",0.470985898851899,1961-10-01,1.38629436111989
"25","anger",0.384084284298175,1961-11-01,1.79175946922805
"26","anger",0.421965383389324,1961-12-01,1.38629436111989
"27","anger",0.514461743347356,1961-12-16,1.38629436111989
"28","anger",0.614630679950241,1962-01-01,2.07944154167984
"29","anger",0.559488956513357,1962-02-01,2.39789527279837
"30","anger",0.53973994659616,1962-03-01,2.484906649788
"31","anger",0.421442786290456,1962-04-01,1.38629436111989
"32","anger",0.521800079445806,1962-05-01,1.38629436111989
"33","anger",0.394997353891943,1962-06-01,1.94591014905531
"34","anger",0.405217970697277,1962-07-01,2.63905732961526
"35","anger",0.724541815437812,1962-08-01,2.484906649788
"36","anger",0.204140358315798,1962-09-01,3.17805383034795
"37","anger",0.269337356785657,1962-10-01,2.30258509299405
"38","anger",0.177923179705716,1962-11-01,1.09861228866811
"39","anger",0.226507053734814,1962-11-16,1.09861228866811
"40","anger",0.203262168991767,1962-12-01,1.09861228866811
"41","anger",0.309378321726781,1963-01-01,0
"42","anger",0.462289464160781,1963-02-01,1.09861228866811
"43","anger",0.604098319974343,1963-03-01,1.38629436111989
"44","anger",0.318262154901118,1963-04-01,2.89037175789616
"45","anger",0.789133397331412,1963-05-01,3.55534806148941
"46","anger",0.779553156516705,1963-06-01,2.484906649788
"47","anger",0.591389863609688,1963-07-01,3.49650756146648
"48","anger",0.377856416886631,1963-08-01,3.29583686600433
"49","anger",0.326825635838123,1963-09-01,3.71357206670431
"50","anger",0.530154026779279,1963-10-01,2.83321334405622
"51","anger",0.755703542936561,1963-11-01,2.39789527279837
"52","anger",0.328530061459493,1963-11-16,2.39789527279837
"53","anger",0.658492208628106,1963-12-01,2.56494935746154
"54","anger",0.7584524988237,1964-01-01,1.6094379124341
"55","anger",0.47150478642065,1964-02-01,2.39789527279837
"56","anger",0.522003881969704,1964-03-01,2.56494935746154
"57","anger",0.613166455593718,1964-04-01,2.77258872223978
"58","anger",0.443048124792018,1964-05-01,3.29583686600433
"59","anger",0.547309780602748,1964-06-01,2.484906649788
"60","anger",0.339521853942046,1964-07-01,3.3322045101752
"61","anger",0.407689626848662,1964-08-01,2.484906649788
"62","anger",0.252310812039582,1964-09-01,2.19722457733622
"63","anger",0.148978150872341,1964-10-01,2.56494935746154
"64","anger",0.414981653817693,1964-10-16,2.56494935746154
"65","anger",0.601518169244674,1964-11-01,1.94591014905531
"66","anger",0.250298662392193,1964-12-01,2.19722457733622
"67","anger",0.452540432613979,1965-01-01,1.09861228866811
"68","anger",0.337423945845351,1965-02-01,2.83321334405622
"69","anger",0.296241469139066,1965-03-01,3.58351893845611
"70","anger",0.214800587617005,1965-04-01,2.19722457733622
"71","anger",0.490958250764955,1965-05-01,2.89037175789616
"72","anger",0.542081573451835,1965-06-01,2.63905732961526
"73","anger",0.394692275832725,1965-07-01,3.68887945411394
"74","anger",0.413483437813857,1965-08-01,2.77258872223978
"75","anger",0.292829598239896,1965-09-01,2.484906649788
"76","anger",0.335743644044516,1965-10-01,2.99573227355399
"77","anger",0.470951462782935,1965-10-16,2.99573227355399
"78","anger",0.333819224970893,1965-11-01,2.63905732961526
"79","anger",0.395817423484184,1965-12-01,2.77258872223978
"80","disgust",NA,1960-01-01,2.70805020110221
"81","disgust",0.492216259695544,1960-01-16,2.70805020110221
"82","disgust",0.590885215225183,1960-02-01,2.94443897916644
"83","disgust",0.433646297126111,1960-03-01,3.61091791264422
"84","disgust",0.267848340468538,1960-04-01,2.99573227355399
"85","disgust",0.513734888250801,1960-05-01,2.19722457733622
"86","disgust",0.675923572078142,1960-06-01,1.94591014905531
"87","disgust",0.745523723043886,1960-07-01,1.09861228866811
"88","disgust",0.423072901383109,1960-08-01,2.70805020110221
"89","disgust",0.526165939186183,1960-09-01,2.30258509299405
"90","disgust",0.232850484090671,1960-10-01,2.19722457733622
"91","disgust",0.299460262991974,1960-11-01,2.19722457733622
"92","disgust",0.320536189033666,1960-12-01,1.6094379124341
"93","disgust",0.115665125591419,1960-12-16,1.6094379124341
"94","disgust",0.349884119028167,1961-01-01,2.30258509299405
"95","disgust",0.283510506059284,1961-02-01,2.484906649788
"96","disgust",0.23328015576989,1961-03-01,2.56494935746154
