"X","date","variable","value","nprotest"
1,"1960-01-01","anger",0.605867029822166,2.70805020110221
2,"1960-01-01","anger",0.730288881460974,2.70805020110221
3,"1960-02-01","anger",0.578375208713527,2.94443897916644
4,"1960-03-01","anger",0.472713430373278,3.61091791264422
5,"1960-04-01","anger",0.659259513976244,2.99573227355399
6,"1960-05-01","anger",0.783931309647862,2.19722457733622
7,"1960-06-01","anger",0.777608968053835,1.94591014905531
8,"1960-07-01","anger",0.465089278644534,1.09861228866811
9,"1960-08-01","anger",0.735257827137388,2.70805020110221
10,"1960-09-01","anger",0.429586900930289,2.30258509299405
11,"1960-10-01","anger",0.413879592859474,2.19722457733622
12,"1960-11-01","anger",0.510005263157648,2.19722457733622
13,"1960-12-01","anger",0.230669706340462,1.6094379124341
14,"1960-12-01","anger",0.49480336274512,1.6094379124341
15,"1961-01-01","anger",0.489608202777342,2.30258509299405
16,"1961-02-01","anger",0.479057872217893,2.484906649788
17,"1961-03-01","anger",0.210316940134933,2.56494935746154
18,"1961-04-01","anger",0.486051284719429,1.38629436111989
19,"1961-05-01","anger",0.595769336996817,2.94443897916644
20,"1961-06-01","anger",0.515652462317246,2.56494935746154
21,"1961-07-01","anger",0.635089308544687,2.77258872223978
22,"1961-08-01","anger",0.548725015527981,2.19722457733622
23,"1961-09-01","anger",0.470985898851899,2.07944154167984
24,"1961-10-01","anger",0.384084284298175,1.38629436111989
25,"1961-11-01","anger",0.421965383389324,1.79175946922805
26,"1961-12-01","anger",0.514461743347356,1.38629436111989
27,"1961-12-01","anger",0.614630679950241,1.38629436111989
28,"1962-01-01","anger",0.559488956513357,2.07944154167984
29,"1962-02-01","anger",0.53973994659616,2.39789527279837
30,"1962-03-01","anger",0.421442786290456,2.484906649788
31,"1962-04-01","anger",0.521800079445806,1.38629436111989
32,"1962-05-01","anger",0.394997353891943,1.38629436111989
33,"1962-06-01","anger",0.405217970697277,1.94591014905531
34,"1962-07-01","anger",0.724541815437812,2.63905732961526
35,"1962-08-01","anger",0.204140358315798,2.484906649788
36,"1962-09-01","anger",0.269337356785657,3.17805383034795
37,"1962-10-01","anger",0.177923179705716,2.30258509299405
38,"1962-11-01","anger",0.226507053734814,1.09861228866811
39,"1962-11-01","anger",0.203262168991767,1.09861228866811
40,"1962-12-01","anger",0.309378321726781,1.09861228866811
41,"1963-01-01","anger",0.462289464160781,0
42,"1963-02-01","anger",0.604098319974343,1.09861228866811
43,"1963-03-01","anger",0.318262154901118,1.38629436111989
44,"1963-04-01","anger",0.789133397331412,2.89037175789616
45,"1963-05-01","anger",0.779553156516705,3.55534806148941
46,"1963-06-01","anger",0.591389863609688,2.484906649788
47,"1963-07-01","anger",0.377856416886631,3.49650756146648
48,"1963-08-01","anger",0.326825635838123,3.29583686600433
49,"1963-09-01","anger",0.530154026779279,3.71357206670431
50,"1963-10-01","anger",0.755703542936561,2.83321334405622
51,"1963-11-01","anger",0.328530061459493,2.39789527279837
52,"1963-11-01","anger",0.658492208628106,2.39789527279837
53,"1963-12-01","anger",0.7584524988237,2.56494935746154
54,"1964-01-01","anger",0.47150478642065,1.6094379124341
55,"1964-02-01","anger",0.522003881969704,2.39789527279837
56,"1964-03-01","anger",0.613166455593718,2.56494935746154
57,"1964-04-01","anger",0.443048124792018,2.77258872223978
58,"1964-05-01","anger",0.547309780602748,3.29583686600433
59,"1964-06-01","anger",0.339521853942046,2.484906649788
60,"1964-07-01","anger",0.407689626848662,3.3322045101752
61,"1964-08-01","anger",0.252310812039582,2.484906649788
62,"1964-09-01","anger",0.148978150872341,2.19722457733622
63,"1964-10-01","anger",0.414981653817693,2.56494935746154
64,"1964-10-01","anger",0.601518169244674,2.56494935746154
65,"1964-11-01","anger",0.250298662392193,1.94591014905531
66,"1964-12-01","anger",0.452540432613979,2.19722457733622
67,"1965-01-01","anger",0.337423945845351,1.09861228866811
68,"1965-02-01","anger",0.296241469139066,2.83321334405622
69,"1965-03-01","anger",0.214800587617005,3.58351893845611
70,"1965-04-01","anger",0.490958250764955,2.19722457733622
71,"1965-05-01","anger",0.542081573451835,2.89037175789616
72,"1965-06-01","anger",0.394692275832725,2.63905732961526
73,"1965-07-01","anger",0.413483437813857,3.68887945411394
74,"1965-08-01","anger",0.292829598239896,2.77258872223978
75,"1965-09-01","anger",0.335743644044516,2.484906649788
76,"1965-10-01","anger",0.470951462782935,2.99573227355399
77,"1965-10-01","anger",0.333819224970893,2.99573227355399
78,"1965-11-01","anger",0.395817423484184,2.63905732961526
79,"1965-12-01","anger",0.464612602108471,2.77258872223978
80,"1960-01-01","sadness",0.207792810160519,2.70805020110221
81,"1960-01-01","sadness",0.258033653667612,2.70805020110221
82,"1960-02-01","sadness",0.342016227859552,2.94443897916644
83,"1960-03-01","sadness",0.166367730757272,3.61091791264422
84,"1960-04-01","sadness",0.245473489906974,2.99573227355399
85,"1960-05-01","sadness",0.530772326422354,2.19722457733622
86,"1960-06-01","sadness",0.517800088806532,1.94591014905531
87,"1960-07-01","sadness",0.149474782899515,1.09861228866811
88,"1960-08-01","sadness",0.373926930854313,2.70805020110221
89,"1960-09-01","sadness",0.174776477935694,2.30258509299405
90,"1960-10-01","sadness",0.122845595993064,2.19722457733622
91,"1960-11-01","sadness",0.121881336240849,2.19722457733622
92,"1960-12-01","sadness",0.13778374176731,1.6094379124341
93,"1960-12-01","sadness",0.119349814430858,1.6094379124341
94,"1961-01-01","sadness",0.281529467000244,2.30258509299405
95,"1961-02-01","sadness",0.395624638486902,2.484906649788
